,Unnamed: 0,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,YearsCodedJob,DeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,LearningNewTech,JobSecurity,DiversityImportant,SeriousWork,WorkPayCare,ChallengeMyself,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,JobProfile,LearnedHiring,Overpaid,EducationImportant,EducationTypes,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Gender,HighestEducationParents,Salary,ExpectedSalary,Assess_Scoring
34395,34395,34396,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Not applicable/ never,Very important,Important,Somewhat important,Important,Somewhat important,Important,Important,Important,Important,Very important,Important,Important,Important,Important,Equipment; Education sponsorship; Long-term leave; Remote options; Child/elder care,LinkedIn,,,,Online course; Self-taught; Coding competition,10:00 AM,C; C++; SQL,Java; JavaScript; Python; Ruby; Swift,MySQL,MongoDB; MySQL; SQLite,,Android; iOS,Notepad++; Android Studio; Visual Studio Code,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Male,A bachelor's degree,,,28.5
34418,34418,34419,Student,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
34433,34433,34434,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer science or software engineering,5 to 10 years,Web developer,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Naukri,,,,,,,,,,,,,,,,58952.90069584607,,0.0
34470,34470,34471,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Mobile developer; Desktop applications developer,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,I was contacted directly by someone at the company (e.g. internal recruiter),,,,,,,,,,,,,,,44545.600362656354,,0.0
34472,34472,34473,Professional developer,"Yes, both",India,No,Employed full-time,Master's degree,Computer science or software engineering,1 to 5 years,Web developer; Desktop applications developer,,10.0,7.0,,,,,,,,Between 2 and 4 years ago,Important,Very important,Very important,Important,Very important,Important,Very important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Annual bonus; Professional development sponsorship; Education sponsorship; Expected work hours; Remote options,Naukri,A general-purpose job board,,Very important,Bootcamp; Industry certification; Self-taught,10:00 AM,Java; SQL,Java; SQL,,Oracle,,Android,Notepad++; Eclipse,Turn on some music,Male,Primary/elementary school,50307.65896485172,,29.0
34488,34488,34489,Student,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
34495,34495,34496,None of these,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,,,,2.0,,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Less than a year ago,,,,,,,,,,,,,,,Retirement; Annual bonus; Professional development sponsorship; Education sponsorship,,,,,Part-time/evening course,9:00 AM,C; Java; SQL,,MongoDB; MySQL,,,,Notepad++; Eclipse,Turn on some music,Female,A bachelor's degree,,,2.5
34506,34506,34507,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",India,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,15 to 20 years,,Product manager; Educator or academic,8.0,5.0,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Less than a year ago,Important,Important,Somewhat important,Important,Very important,Very important,Very important,Very important,Important,Important,Important,Important,Important,Important,Vacation/days off; Health benefits; Long-term leave; Remote options; Child/elder care,,,,,Online course; Industry certification; Self-taught; Coding competition,11:00 AM,C; Groovy; Java; JavaScript; PHP; Ruby; SQL; VB.NET; VBA; Visual Basic 6,Objective-C; Scala,MongoDB; SQL Server; MySQL; SQLite,,Android; iOS; Windows Desktop; Linux Desktop; Mac OS; WordPress; Amazon Web Services (AWS),Raspberry Pi,Notepad++; Vim; Android Studio; Eclipse; Xcode,Keep the room absolutely quiet,Male,"Some college/university study, no bachelor's degree",79883.65565306015,,30.0
34509,34509,34510,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,Strongly agree,Strongly agree,Agree,,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,LinkedIn,,,,Online course,6:00 AM,Assembly; C++; SQL,,,,Windows Desktop,Windows Desktop,Atom; Notepad++; Android Studio; RStudio,Turn on some music,Male,A bachelor's degree,,1468.213185,0.0
34552,34552,34553,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34152.73776106599,,0.0
34569,34569,34570,Student,"Yes, both",India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Not applicable/ never,Important,Important,Somewhat important,Important,Very important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Annual bonus; Health benefits; Professional development sponsorship; Education sponsorship; Expected work hours,LinkedIn; Other,,,,,Noon,C; C++; Java; SQL; Visual Basic 6,C; C++; Java; Python,MySQL,MySQL,Android; Linux Desktop,Android; Windows Desktop; Linux Desktop; Mac OS,Notepad++; Sublime Text; Android Studio; Visual Studio,Turn on some music,,,,,28.5
34576,34576,34577,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,,9.0,7.0,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Disagree,Strongly agree,Between 1 and 2 years ago,Important,Very important,Important,Important,Very important,Important,Important,Important,Important,Not very important,Important,Important,Important,Very important,Annual bonus; Professional development sponsorship; Education sponsorship; Remote options; Meals,,,,,,10:00 AM,C; C++; Java; JavaScript; Python,C; C++; Java; JavaScript; Python,MongoDB; Oracle,MongoDB; Oracle,Android; Windows Desktop,Android; Windows Desktop,Notepad++; Sublime Text; Vim; Android Studio; Eclipse,Keep the room absolutely quiet,Male,A bachelor's degree,57454.15413633065,,28.5
34593,34593,34594,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Machine learning specialist; Desktop applications developer; Database administrator; Systems administrator,,8.0,4.0,Strongly agree,Strongly agree,Disagree,Somewhat agree,Agree,Agree,Agree,Between 1 and 2 years ago,Important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Very important,Somewhat important,Very important,Important,Very important,Important,Vacation/days off; Health benefits; Equipment; Education sponsorship,,,Somewhat underpaid,,,9:00 AM,C; C++; Java; Python; SQL,Java; Julia; Python; SQL,SQL Server; MySQL; Oracle,MongoDB; SQL Server; MySQL; Oracle,Linux Desktop,Linux Desktop,Atom; IPython / Jupyter,Turn on some music,Male,A bachelor's degree,4110.996917,,26.0
34642,34642,34643,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,7.0,7.0,,,,,,,,Between 2 and 4 years ago,Not very important,Important,Important,Not very important,Important,Not very important,Very important,Important,Important,Very important,Important,Not very important,Important,Not very important,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options,,,Somewhat underpaid,Very important,Self-taught,9:00 AM,Java; SQL,CoffeeScript; Java; JavaScript; Ruby; SQL; TypeScript,MySQL,Cassandra; MongoDB; MySQL,Windows Desktop,Windows Desktop; Linux Desktop,Notepad++; Eclipse; IntelliJ; Visual Studio Code,Keep the room absolutely quiet,Male,A bachelor's degree,10571.13493,,25.5
34649,34649,34650,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer,,6.0,5.0,,,,,,,,Between 1 and 2 years ago,Somewhat important,Very important,Very important,Very important,Important,Important,Very important,Important,Important,Somewhat important,Very important,Important,Very important,Very important,Retirement; Health benefits; Long-term leave; Expected work hours,LinkedIn,"A friend, family member, or former colleague told me",,Somewhat important,Self-taught,5:00 AM,Java; JavaScript; Matlab; PHP; SQL,Java; JavaScript; SQL,MySQL,SQL Server; MySQL; PostgreSQL,Android; Linux Desktop; Mac OS; WordPress,Android; Arduino; WordPress,Android Studio; NetBeans; Visual Studio,Turn on some music,Male,A bachelor's degree,34152.73776106599,,30.5
34650,34650,34651,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer,,8.0,8.0,,,,,,,,Between 1 and 2 years ago,Important,Important,Somewhat important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Annual bonus; Health benefits; Professional development sponsorship; Expected work hours; Remote options,Naukri,I was contacted directly by someone at the company (e.g. internal recruiter),Neither underpaid nor overpaid,Somewhat important,Self-taught,10:00 AM,PHP; SQL,PHP; SQL,MySQL,MongoDB,Windows Desktop; Linux Desktop; WordPress; Amazon Web Services (AWS),,NetBeans,Turn on some music,Male,A bachelor's degree,2936.426369,,28.0
34667,34667,34668,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,7.0,6.0,Strongly agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,Somewhat important,,9:00 AM,C#; JavaScript,C#; JavaScript; Python; R; TypeScript,MongoDB; SQL Server; MySQL,Cassandra; MongoDB; Redis; SQL Server; MySQL,Linux Desktop; Serverless; SharePoint; Amazon Web Services (AWS),Serverless; Amazon Web Services (AWS); Microsoft Azure,Atom; Notepad++; Sublime Text; Visual Studio; Visual Studio Code,Keep the room absolutely quiet,Male,A bachelor's degree,50307.65896485172,,0.0
34703,34703,34704,Professional developer,"Yes, both",India,No,"Independent contractor, freelancer, or self-employed",Master's degree,Computer programming or Web development,5 to 10 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer,,9.0,9.0,Agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63120.60854554837,,0.0
34713,34713,34714,Professional developer,"Yes, both",India,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer engineering or electrical/electronics engineering,5 to 10 years,Web developer; Mobile developer; Machine learning specialist; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,,8.0,9.0,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Agree,Between 2 and 4 years ago,,,,,,,,,,,,,,,Stock options; Annual bonus; Equipment; Expected work hours; Remote options,,,,,,2:00 PM,Elixir; JavaScript; PHP; SQL; Swift,CoffeeScript; Elixir; Hack; JavaScript; Objective-C; PHP; SQL; Swift,Redis; MySQL,Cassandra; Redis; MySQL; SQLite,Android; Linux Desktop; WordPress; Amazon Web Services (AWS),Android; iOS; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Sublime Text; Android Studio,Turn on some music,Male,A master's degree,63120.60854554837,,2.5
34720,34720,34721,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Mobile developer,,4.0,4.0,,,,,,,,Not applicable/ never,Very important,Very important,Very important,Very important,Very important,Important,Very important,Important,Very important,Important,Very important,Very important,Very important,Very important,Annual bonus; Health benefits; Professional development sponsorship; Education sponsorship; Remote options,Indeed; LinkedIn; Monster; Naukri,A career fair or on-campus recruiting event,,Somewhat important,Industry certification; Self-taught; Hackathon,8:00 AM,Java; JavaScript,C; C++,,MongoDB; Redis; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Amazon Web Services (AWS),Mac OS; Arduino; Raspberry Pi; Serverless; Salesforce,Android Studio; Eclipse; IntelliJ,Turn on some music,Female,A bachelor's degree,38715.28756637354,,33.5
34724,34724,34725,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Data scientist,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,,,,,,34152.73776106599,,0.0
34733,34733,34734,Student,"Yes, I program as a hobby",India,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,Computer programming or Web development,,,,,,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,LinkedIn,,,,Online course; Self-taught,7:00 AM,Java; Swift,Java; PHP,Oracle,,Android; iOS,Android; iOS,Android Studio,Keep the room absolutely quiet,Male,A bachelor's degree,,,0.0
34779,34779,34780,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer,,8.0,8.0,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Between 2 and 4 years ago,,,,,,,,,,,,,,,Stock options; Retirement; Annual bonus; Health benefits; Meals,LinkedIn,A career fair or on-campus recruiting event,Neither underpaid nor overpaid,,,8:00 AM,Java; JavaScript; Python; SQL,C++; JavaScript; Scala,Oracle,Cassandra; MongoDB; MySQL; PostgreSQL,Linux Desktop; Mac OS,Linux Desktop; Mac OS; Amazon Web Services (AWS),Vim; IntelliJ; Visual Studio Code,Keep the room absolutely quiet,Male,A bachelor's degree,32300.69006,,2.5
34783,34783,34784,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,,Analyst or consultant,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Dice; Hired.com; Indeed; LinkedIn; Monster; Naukri,An external recruiter or headhunter,,,,,,,,,,,,,,,44545.600362656354,,0.0
34788,34788,34789,Student,"Yes, I program as a hobby",India,"Yes, full-time","Independent contractor, freelancer, or self-employed",Bachelor's degree,A non-computer-focused engineering discipline,,,,,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,LinkedIn,,,,Online course; Bootcamp; Self-taught; Open source contributions,11:00 AM,C; C++; JavaScript; Matlab; PHP; Python,C++; Matlab; PHP; Python,MySQL,MySQL,Windows Desktop; Linux Desktop; Raspberry Pi; WordPress,Linux Desktop; Raspberry Pi,Notepad++; Vim; IPython / Jupyter,Turn on some music,Male,A bachelor's degree,,7341.065923,0.0
34801,34801,34802,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,7.0,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Between 2 and 4 years ago,Important,Somewhat important,Not very important,Somewhat important,Important,Important,Important,,,,,,,,Annual bonus; Vacation/days off; Health benefits; Expected work hours; Remote options,,,,Important,Online course; Self-taught,10:00 AM,C#; JavaScript,CoffeeScript; Python; TypeScript,MongoDB,,Amazon Web Services (AWS),Amazon Web Services (AWS),Visual Studio,Keep the room absolutely quiet,,,44545.600362656354,,14.5
34829,34829,34830,Student,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer programming or Web development,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,C; C++; PHP; SQL,JavaScript; Python; Ruby,Redis; SQL Server; MySQL; SQLite,MongoDB; Redis; Oracle,Android; WordPress,Android; iOS; SharePoint; Amazon Web Services (AWS),Notepad++; Sublime Text; Android Studio; IntelliJ; NetBeans; PHPStorm,Keep the room absolutely quiet,Male,A bachelor's degree,,,0.0
34851,34851,34852,Student,"Yes, both",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
34852,34852,34853,Student,"Yes, both",India,"Yes, full-time","Independent contractor, freelancer, or self-employed",Secondary school,,,,,,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Disagree,Strongly agree,Less than a year ago,Very important,Important,Somewhat important,Important,Important,Important,Important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Vacation/days off; Private office; Professional development sponsorship; Expected work hours; Remote options,LinkedIn,,,,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,2:00 PM,C; C++; JavaScript; Python; TypeScript,,MongoDB; MySQL; PostgreSQL; SQLite,,Android; Linux Desktop; Arduino; Amazon Web Services (AWS),,Atom; Sublime Text; Vim; Android Studio; IPython / Jupyter,Turn on some music,Male,A doctoral degree,,,30.5
34913,34913,34914,Student,No,India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,Noon,Assembly; C++; Java; Swift,C++; Java; JavaScript; Objective-C; Python; Swift,,MongoDB,Android; iOS; Mac OS,Android; iOS; Mac OS; Amazon Web Services (AWS),IntelliJ; Xcode,Turn on some music,Male,A doctoral degree,,22023.19777,0.0
35049,35049,35050,Professional developer,"Yes, I program as a hobby",India,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,10 to 15 years,Other,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71432.17525788132,,0.0
35058,35058,35059,None of these,"Yes, I program as a hobby",India,No,"Not employed, but looking for work",Bachelor's degree,A non-computer-focused engineering discipline,,,,7.0,,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Between 1 and 2 years ago,Important,Not very important,Not very important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,Not very important,Somewhat important,Somewhat important,Stock options; Retirement; Health benefits; Professional development sponsorship; Remote options,,,,,Online course; Self-taught,11:00 AM,C#,C#; JavaScript; Swift,,MongoDB,,iOS; Microsoft Azure,Android Studio; Xcode,Keep the room absolutely quiet,Male,A bachelor's degree,,,22.0
35070,35070,35071,Student,"Yes, I program as a hobby",India,No,"Not employed, and not looking for work",Primary/elementary school,,,,,,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly agree,Not applicable/ never,Somewhat important,Important,Important,Important,Very important,Somewhat important,Important,Important,Somewhat important,Very important,Very important,Not very important,Important,Important,,,,,,Self-taught,,,,,,,,,,,,,,27.5
35102,35102,35103,Student,"Yes, both",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,,,,,,,,Not applicable/ never,Somewhat important,Important,Somewhat important,Important,Important,Not at all important,Very important,Somewhat important,Important,Not at all important,Very important,Not at all important,Somewhat important,Important,Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Long-term leave,,,,,Online course; Self-taught; Hackathon; Open source contributions,11:00 AM,Go; Java; JavaScript; Python; TypeScript,Go; JavaScript; TypeScript,MongoDB; PostgreSQL,MongoDB; Redis,,,Sublime Text,Turn on some music,Male,A bachelor's degree,,8809.279107,23.0
35128,35128,35129,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, and not looking for work",Primary/elementary school,,,,,,,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Not applicable/ never,Very important,Very important,Very important,Very important,Important,Important,Important,Somewhat important,Important,Not very important,Very important,Somewhat important,Important,Important,Retirement; Health benefits; Private office; Expected work hours; Child/elder care,,,,,Online course; Self-taught,,C; Java; JavaScript; PHP; Python; SQL,C; Java; JavaScript; PHP; SQL,SQL Server; MySQL; Oracle; SQLite,SQL Server; MySQL; Oracle; SQLite,Android; Windows Desktop; Arduino,Android; Windows Desktop; Arduino,Notepad++; Android Studio; Eclipse; IntelliJ; NetBeans,Turn on some music,Male,A master's degree,,,29.0
35136,35136,35137,Professional developer,"Yes, I contribute to open source projects",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44545.600362656354,,0.0
35142,35142,35143,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist; DevOps specialist,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very important,Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,,,,,,,,,,,,50307.65896485172,,0.0
35144,35144,35145,Student,"Yes, I program as a hobby",India,"Yes, full-time",I prefer not to say,I prefer not to answer,,,,,,,Agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly agree,Not applicable/ never,Important,Important,Important,Important,Very important,Important,Important,Important,Very important,Somewhat important,Very important,Important,Important,Important,,,,,,,,,,,,,,,,,,,,29.5
35146,35146,35147,Professional developer,"Yes, both",India,No,Employed full-time,Master's degree,Computer science or software engineering,1 to 5 years,Other,,7.0,9.0,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Between 1 and 2 years ago,,,,,,,,,,,,,,,Stock options; Annual bonus; Health benefits; Equipment; Long-term leave,LinkedIn,I was contacted directly by someone at the company (e.g. internal recruiter),,Somewhat important,Industry certification; Open source contributions,9:00 AM,Java,Java,,,,,IntelliJ,Turn on some music,,,50307.65896485172,,2.5
35156,35156,35157,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer,,9.0,10.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,,,,,,,,,,,,,,,,,LinkedIn,I was contacted directly by someone at the company (e.g. internal recruiter),Neither underpaid nor overpaid,Very important,Online course; Self-taught,2:00 PM,PHP,PHP; Ruby,MySQL,MySQL,Windows Phone; Windows Desktop; Mac OS; WordPress,iOS; Windows Phone; Windows Desktop; Mac OS; WordPress,Notepad++; Sublime Text,Turn on some music,Female,A bachelor's degree,7047.423286,,0.0
35158,35158,35159,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer science or software engineering,1 to 5 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn; Naukri,A career fair or on-campus recruiting event,,Very important,Online course; Self-taught; Open source contributions,9:00 AM,C; C++; C#; Common Lisp; Go; Groovy; Java; JavaScript; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,,Android; Windows Phone; Windows Desktop; Microsoft Azure,iOS; Arduino; Raspberry Pi; WordPress; Amazon Web Services (AWS),Notepad++; Android Studio; Eclipse; IPython / Jupyter; Komodo; NetBeans; PyCharm; Visual Studio,Turn on some music,Male,A bachelor's degree,34152.73776106599,,0.0
35160,35160,35161,Professional developer,"Yes, I program as a hobby",India,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer science or software engineering,5 to 10 years,Mobile developer; Graphic designer,,10.0,10.0,,,,,,,,Less than a year ago,Very important,Very important,Important,Important,Very important,Very important,Important,Very important,Very important,Very important,Important,Important,Very important,Important,Retirement; Health benefits; Long-term leave; Expected work hours; Remote options,LinkedIn,,,Not at all important,Online course; Part-time/evening course; Self-taught,10:00 AM,Swift,JavaScript; Objective-C; Swift,SQLite,MongoDB; SQLite,iOS; Mac OS,iOS; Mac OS,Xcode,Turn on the news or talk radio,Male,,57454.15413633065,,32.5
35165,35165,35166,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,A natural science,5 to 10 years,Desktop applications developer,,7.0,6.0,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,Not very important,Part-time/evening course; Industry certification,Noon,C#; VB.NET,VB.NET,SQL Server,,Windows Desktop,Windows Desktop; Microsoft Azure,Visual Studio,Turn on some music,Male,A master's degree,63120.60854554837,,0.0
35168,35168,35169,Student,"Yes, both",India,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a bachelor's degree,Computer science or software engineering,,,,,,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Not applicable/ never,Important,Important,Important,Somewhat important,Important,Somewhat important,Important,Important,Somewhat important,Very important,Important,Somewhat important,Important,Very important,Retirement; Vacation/days off; Health benefits; Long-term leave; Remote options,,,,,,10:00 AM,Assembly; C; C++; C#; Common Lisp; Go; Java; PHP; Python; Visual Basic 6,Ruby; SQL; Swift,,,Windows Desktop,,Notepad++; Sublime Text; IntelliJ; IPython / Jupyter; Komodo; PyCharm; Visual Studio,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Male,A bachelor's degree,,17618.55821,27.0
35172,35172,35173,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",India,"Yes, full-time",I prefer not to say,Master's degree,Computer science or software engineering,1 to 5 years,,,4.0,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,,Very important,Very important,Very important,Somewhat important,Very important,Very important,Important,Very important,Important,Somewhat important,Very important,Important,Important,Somewhat important,Retirement; Charitable match; Health benefits; Professional development sponsorship,,,,,,,Java,,SQLite,,Android,,Android Studio; IntelliJ,Turn on some music,Male,A professional degree,34152.73776106599,,28.5
35174,35174,35175,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,,Web developer,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35175,35175,35176,Professional non-developer who sometimes writes code,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer programming or Web development,Less than a year,,Designer or illustrator,5.0,8.0,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33298.75204458006,,0.0
35176,35176,35177,Student,"Yes, I program as a hobby",India,"Yes, full-time","Independent contractor, freelancer, or self-employed",Master's degree,Computer programming or Web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35180,35180,35181,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer; Developer with a statistics or mathematics background; Data scientist; DevOps specialist,,8.0,9.0,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Between 2 and 4 years ago,Very important,Very important,,,Very important,,Very important,,Somewhat important,Important,Very important,Important,Important,Very important,Stock options; Professional development sponsorship; Education sponsorship; Long-term leave; Child/elder care,LinkedIn,I visited the company's Web site and found a job listing there,,Somewhat important,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Noon,Python,Go; JavaScript; R; Scala,MongoDB; Redis; PostgreSQL; SQLite,Cassandra,Linux Desktop,Mac OS,Sublime Text; Vim,Keep the room absolutely quiet,Male,A bachelor's degree,38715.28756637354,,22.5
